Ref_Number,PMID,DOI,First_Author,Year,Journal,Title,Verification_Status
1,N/A,N/A,"Plastics Europe",2023,"Report","Plastics - the fast facts 2023",Industry_Report
2,15131299,10.1126/science.1094559,"Thompson RC",2004,"Science","Lost at sea: where is all the plastic?",VERIFIED_PubMed
3,N/A,10.1126/sciadv.1700782,"Geyer R",2017,"Sci Adv","Production use and fate of all plastics ever made",VERIFIED_DOI
4,31184127,10.1021/acs.est.9b01517,"Cox KD",2019,"Environ Sci Technol","Human consumption of microplastics",VERIFIED_PubMed
5,31209244,10.1038/s41598-019-45054-w,"Vianello A",2019,"Sci Rep","Simulating human exposure to indoor airborne microplastics",VERIFIED_PubMed
6,31476765,10.7326/M19-0618,"Schwabl P",2019,"Ann Intern Med","Detection of various microplastics in human stool",VERIFIED_PubMed
7,35367073,10.1016/j.envint.2022.107199,"Leslie HA",2022,"Environ Int","Discovery and quantification of plastic particle pollution in human blood",VERIFIED_PubMed
8,35364151,10.1016/j.scitotenv.2022.154907,"Jenner LC",2022,"Sci Total Environ","Detection of microplastics in human lung tissue using uFTIR spectroscopy",VERIFIED_PubMed
9,33395930,10.1016/j.envint.2020.106274,"Ragusa A",2021,"Environ Int","Plasticenta: first evidence of microplastics in human placenta",VERIFIED_PubMed
10,35835713,10.1016/j.ebiom.2022.104147,"Horvatits T",2022,"EBioMedicine","Microplastics detected in cirrhotic liver tissue",VERIFIED_PubMed
11,35808745,10.3390/polym14132700,"Ragusa A",2022,"Polymers (Basel)","Raman Microspectroscopy Detection and Characterisation of Microplastics in Human Breastmilk",VERIFIED_PubMed
12,39901044,10.1038/s41591-024-03453-1,"Nihart AJ",2025,"Nat Med","Bioaccumulation of microplastics in decedent human brains",VERIFIED_PubMed
13,38366932,10.1093/toxsci/kfae021,"Garcia MA",2024,"Toxicol Sci","Quantitation and identification of microplastics accumulation in human placental specimens",VERIFIED_PubMed
14,33574197,10.1126/science.abe5041,"Vethaak AD",2021,"Science","Microplastics and human health",VERIFIED_PubMed
15,30851606,10.1016/j.scitotenv.2019.02.431,"Novotna K",2019,"Sci Total Environ","Microplastics in drinking water treatment",VERIFIED_PubMed
16,31733547,10.1016/j.scitotenv.2019.134455,"Prata JC",2020,"Sci Total Environ","Environmental exposure to microplastics: an overview on possible human health effects",VERIFIED_PubMed
17,32111046,10.3390/ijerph17051509,"Yong CQY",2020,"Int J Environ Res Public Health","Toxicity of microplastics and nanoplastics in mammalian systems",VERIFIED_PubMed
