 ,Label,Length/cm
1,C-1.jpg,0.363
2,C-1.jpg,0.354
3,C-1.jpg,0.358
4,C-1.jpg,0.375
5,C-1.jpg,0.414
6,C-1.jpg,0.404
7,C-1.jpg,0.376
8,C-1.jpg,0.372
9,C-1.jpg,0.389
10,C-1.jpg,0.393
11,C-1.jpg,0.339
12,C-1.jpg,0.375
13,C-1.jpg,0.358
14,C-1.jpg,0.345
15,C-2.jpg,0.401
16,C-2.jpg,0.387
17,C-2.jpg,0.388
18,C-2.jpg,0.434
19,C-2.jpg,0.389
20,C-2.jpg,0.377
21,C-2.jpg,0.361
22,C-2.jpg,0.395
23,C-2.jpg,0.451
24,C-2.jpg,0.397
25,C-2.jpg,0.443
26,C-2.jpg,0.414
27,C-2.jpg,0.405
28,C-3.jpg,0.357
29,C-3.jpg,0.37
30,C-3.jpg,0.352
31,C-3.jpg,0.397
32,C-3.jpg,0.373
33,C-3.jpg,0.403
34,C-3.jpg,0.365
35,C-3.jpg,0.429
36,C-3.jpg,0.409
37,C-3.jpg,0.39
38,C-3.jpg,0.383
39,C-3.jpg,0.356
40,C-3.jpg,0.381
41,C-3.jpg,0.371
42,G-0.5-1.jpg,0.34
43,G-0.5-1.jpg,0.349
44,G-0.5-1.jpg,0.346
45,G-0.5-1.jpg,0.328
46,G-0.5-1.jpg,0.289
47,G-0.5-1.jpg,0.359
48,G-0.5-1.jpg,0.338
49,G-0.5-1.jpg,0.37
50,G-0.5-1.jpg,0.339
51,G-0.5-1.jpg,0.366
52,G-0.5-1.jpg,0.335
53,G-0.5-1.jpg,0.379
54,G-0.5-1.jpg,0.349
55,G-0.5-1.jpg,0.351
56,G-0.5-1.jpg,0.349
57,G-0.5-2.jpg,0.379
58,G-0.5-2.jpg,0.348
59,G-0.5-2.jpg,0.386
60,G-0.5-2.jpg,0.354
61,G-0.5-2.jpg,0.331
62,G-0.5-2.jpg,0.31
63,G-0.5-2.jpg,0.338
64,G-0.5-2.jpg,0.308
65,G-0.5-2.jpg,0.359
66,G-0.5-2.jpg,0.369
67,G-0.5-2.jpg,0.348
68,G-0.5-2.jpg,0.34
69,G-0.5-2.jpg,0.336
70,G-0.5-3.jpg,0.304
71,G-0.5-3.jpg,0.355
72,G-0.5-3.jpg,0.369
73,G-0.5-3.jpg,0.344
74,G-0.5-3.jpg,0.332
75,G-0.5-3.jpg,0.323
76,G-0.5-3.jpg,0.34
77,G-0.5-3.jpg,0.337
78,G-0.5-3.jpg,0.356
79,G-0.5-3.jpg,0.337
80,G-0.5-3.jpg,0.373
81,G-0.5-3.jpg,0.373
82,G-0.5-3.jpg,0.349
83,G-0.5-3.jpg,0.353
84,G-5-1.jpg,0.359
85,G-5-1.jpg,0.374
86,G-5-1.jpg,0.331
87,G-5-1.jpg,0.344
88,G-5-1.jpg,0.344
89,G-5-1.jpg,0.288
90,G-5-1.jpg,0.373
91,G-5-1.jpg,0.302
92,G-5-1.jpg,0.347
93,G-5-1.jpg,0.355
94,G-5-1.jpg,0.314
95,G-5-2.jpg,0.332
96,G-5-2.jpg,0.362
97,G-5-2.jpg,0.331
98,G-5-2.jpg,0.333
99,G-5-2.jpg,0.287
100,G-5-2.jpg,0.247
101,G-5-2.jpg,0.331
102,G-5-2.jpg,0.354
103,G-5-3.jpg,0.347
104,G-5-3.jpg,0.278
105,G-5-3.jpg,0.281
106,G-5-3.jpg,0.307
107,G-5-3.jpg,0.35
108,G-5-3.jpg,0.29
109,G-5-3.jpg,0.339
110,G-5-3.jpg,0.361
111,G-5-3.jpg,0.3
112,G-5-3.jpg,0.327
113,G-5-3.jpg,0.364
114,G-5-3.jpg,0.332
115,G-5-3.jpg,0.292
116,G-5-3.jpg,0.318
117,G-5-3.jpg,0.345
118,G-5-3.jpg,0.317
119,G-5-3.jpg,0.314
120,P-0.5-1.jpg,0.382
121,P-0.5-1.jpg,0.38
122,P-0.5-1.jpg,0.39
123,P-0.5-1.jpg,0.352
124,P-0.5-1.jpg,0.345
125,P-0.5-1.jpg,0.332
126,P-0.5-1.jpg,0.387
127,P-0.5-1.jpg,0.336
128,P-0.5-1.jpg,0.32
129,P-0.5-1.jpg,0.353
130,P-0.5-1.jpg,0.336
131,P-0.5-1.jpg,0.355
132,P-0.5-2.jpg,0.363
133,P-0.5-2.jpg,0.356
134,P-0.5-2.jpg,0.372
135,P-0.5-2.jpg,0.37
136,P-0.5-2.jpg,0.289
137,P-0.5-2.jpg,0.303
138,P-0.5-2.jpg,0.365
139,P-0.5-2.jpg,0.333
140,P-0.5-2.jpg,0.376
141,P-0.5-2.jpg,0.362
142,P-0.5-2.jpg,0.369
143,P-0.5-2.jpg,0.368
144,P-0.5-2.jpg,0.277
145,P-0.5-3.jpg,0.394
146,P-0.5-3.jpg,0.364
147,P-0.5-3.jpg,0.374
148,P-0.5-3.jpg,0.38
149,P-0.5-3.jpg,0.384
150,P-0.5-3.jpg,0.324
151,P-0.5-3.jpg,0.37
152,P-0.5-3.jpg,0.341
153,P-0.5-3.jpg,0.373
154,P-0.5-3.jpg,0.353
155,P-0.5-3.jpg,0.351
156,P-0.5-3.jpg,0.349
157,P-5-1.jpg,0.329
158,P-5-1.jpg,0.345
159,P-5-1.jpg,0.367
160,P-5-1.jpg,0.344
161,P-5-1.jpg,0.38
162,P-5-1.jpg,0.352
163,P-5-1.jpg,0.361
164,P-5-1.jpg,0.34
165,P-5-1.jpg,0.303
166,P-5-1.jpg,0.343
167,P-5-1.jpg,0.314
168,P-5-1.jpg,0.314
169,P-5-1.jpg,0.345
170,P-5-1.jpg,0.346
171,P-5-1.jpg,0.268
172,P-5-1.jpg,0.336
173,P-5-2.jpg,0.355
174,P-5-2.jpg,0.353
175,P-5-2.jpg,0.373
176,P-5-2.jpg,0.337
177,P-5-2.jpg,0.37
178,P-5-2.jpg,0.353
179,P-5-2.jpg,0.381
180,P-5-2.jpg,0.357
181,P-5-2.jpg,0.366
182,P-5-2.jpg,0.363
183,P-5-2.jpg,0.351
184,P-5-2.jpg,0.255
185,P-5-2.jpg,0.286
186,P-5-2.jpg,0.35
187,P-5-3.jpg,0.358
188,P-5-3.jpg,0.385
189,P-5-3.jpg,0.347
190,P-5-3.jpg,0.382
191,P-5-3.jpg,0.332
192,P-5-3.jpg,0.34
193,P-5-3.jpg,0.258
194,P-5-3.jpg,0.331
195,P-5-3.jpg,0.32
196,P-5-3.jpg,0.318
197,P-5-3.jpg,0.322
198,P-5-3.jpg,0.322
199,P-5-3.jpg,0.357
200,P-5-3.jpg,0.359
