ID,Mean Speed (BL/s),Max Speed (BL/s),Total Distance (BL),Freezing Ratio (%),Mean Dist to Center (BL),Time in Center (%),Mean Acceleration,Group,Mean Speed (BL/s)_Z,Total Distance (BL)_Z,Freezing Ratio (%)_Z,Mean Dist to Center (BL)_Z,Time in Center (%)_Z,Mean Acceleration_Z,Behavior Index,Anxiety Index
Control-1,1.632,9.839,489.699,3.967,4.756,18.689,24.785,Control,-0.06666161124176456,-0.0665116311746063,-0.5934290672148589,1.2479517732853949,-1.5482907471399112,1.844757779390778,-0.08187148603934004,0.567368766113053
Control-2,0.872,7.311,261.735,9.756,2.669,70.022,12.753,Control,-0.9785924530291032,-0.9783625747088837,0.8790788068129238,-1.2558164554712352,0.6685015779986109,-0.9641277563263788,-0.3126405929012406,-0.016661693406954725
Control-3,1.629,9.623,488.787,6.022,3.796,57.8,20.416,Control,-0.07026133824881972,-0.07015961094554948,-0.07071293642766009,0.0962423820029964,0.14070005075798525,0.82480923338444,0.13325981489545327,-0.011227316733457306
Control-4,0.974,6.527,292.349,6.044,2.674,78.833,16.691,Control,-0.8562017347892236,-0.8559072537575126,-0.06511694865280947,-1.2498179690583062,1.0490006171507256,-0.0447967024987392,0.10117164063606097,-0.37693345001815437
Control-5,2.745,10.036,823.489,2.722,4.972,17.167,20.974,Control,1.2688371083757464,1.2686409650349113,-0.9101111026552785,1.5070863863239348,-1.6140176269026532,0.9550750353234504,0.2135933663604664,0.2355389505488908
Control-6,0.776,5.087,232.742,5.122,3.149,70.344,13.482,Control,-1.0937837172548723,-1.0943339316156293,-0.2996397090351925,-0.6799617598300363,0.6824070019694402,-0.7939417892770266,-0.22000849455214322,-0.14205618839494916
Control-7,2.269,8.614,680.832,11.478,3.32,76.411,15.583,Control,0.6976804232563079,0.6980161293074743,1.3170920317353356,-0.4748135245078593,0.9444076455440495,-0.30346069631311806,0.19906083242787287,-0.19995239039322027
Control-8,3.059,7.559,917.698,0.111,4.001,53.178,14.978,Control,1.6456085351141996,1.6454748753866364,-1.5742531062977974,0.3421803249330924,-0.05889892313386304,-0.4446987073760237,0.669926426892609,-0.7046955983362604
Control-9,1.232,6.851,369.612,11.478,4.105,48.433,12.284,Control,-0.5466252121824691,-0.5468569675268407,1.3170920317353356,0.466948842322019,-0.2638095962443822,-1.0736163963073748,-0.7024915077197368,0.6486189206210514
50mg/kg-1,1.003,7.745,300.765,15.544,4.908,2.5,9.356,50mg/kg,-0.8214043737210226,-0.8222434404326698,2.3513323177600314,1.4303057602384415,-2.2474053703192993,-1.757161679600247,-1.5716421570119519,1.7126119555096986
