ID,Group,PC1,PC2
Control-1,Control,1.4036450125141873,-1.4603661914612542
Control-2,Control,-0.15825086271162303,2.446551034147215
Control-3,Control,1.502371030384083,0.4477274192388367
Control-4,Control,0.5884076335921046,2.5062478932764725
Control-5,Control,2.7537790564738143,-2.2846671290461202
Control-6,Control,-0.12745886107553966,2.0945689129210776
Control-7,Control,2.099400673328929,0.9972786417624738
Control-8,Control,3.3494858143913575,-0.5455308624567098
Control-9,Control,-0.19228013691299173,0.3728703681663329
1250mg/kg-1,1250mg/kg,-0.4287494137435597,-0.5950133585103031
1250mg/kg-2,1250mg/kg,-0.5420276982020764,0.23479671089277834
1250mg/kg-3,1250mg/kg,-1.4469375010826644,0.4124024414291997
1250mg/kg-4,1250mg/kg,-2.4454875200620694,-0.18221572944042289
1250mg/kg-5,1250mg/kg,-2.3004507183952128,-0.871862137241602
1250mg/kg-6,1250mg/kg,-0.6425876676268099,-1.8250580255186803
1250mg/kg-7,1250mg/kg,-2.607222295421179,-1.4289273694027247
1250mg/kg-8,1250mg/kg,-0.6530511859147866,0.5514668563546823
1250mg/kg-9,1250mg/kg,-0.15258535953596405,-0.8702694751112484
