Protein,Protein ID,Entry Name,Gene,CTRL-1,CTRL-2,CTRL-3,PTX3-1,PTX3-2,PTX3-3,mean c,mean ptx3,FC,log2FC,P.value,Sig
sp|A0A0B4J2D5|GAL3B_HUMAN,A0A0B4J2D5,GAL3B_HUMAN,GATD3B,6.65822812,3.684135237,6.29414224,3.535111185,5.140382257,8.951858681,5.545501866,5.875784041,1.059558573,0.083463342,0.867650068,not significant
sp|A0A0U1RRL7|MMPOS_HUMAN,A0A0U1RRL7,MMPOS_HUMAN,MMP24OS,1.097702263,0.538758707,0.778363363,0.947706004,1.084007226,0.849825292,0.804941444,0.960512841,1.193270451,0.254921063,0.4256102,not significant
sp|A0A3B3IU46|RMACL_HUMAN,A0A3B3IU46,RMACL_HUMAN,RAMACL,0.000249487,0.000241214,0.122680668,0.093622263,0.13394001,0.111670071,0.041057123,0.113077448,2.754149335,1.461606787,0.164972084,not significant
sp|A0AVT1|UBA6_HUMAN,A0AVT1,UBA6_HUMAN,UBA6,8.929316667,10.50063292,8.15031189,11.50868768,9.797554572,10.27201207,9.193420492,10.52608477,1.144958482,0.195295285,0.195754201,not significant
sp|A0FGR8|ESYT2_HUMAN,A0FGR8,ESYT2_HUMAN,ESYT2,2.056686713,1.730987441,2.696297824,2.419829716,4.430703077,3.196049037,2.161323993,3.34886061,1.549448681,0.631754973,0.141970746,not significant
sp|A0MZ66|SHOT1_HUMAN,A0MZ66,SHOT1_HUMAN,SHTN1,8.811093575,6.917472625,7.89409255,8.366274141,9.160611218,11.27918411,7.874219583,9.602023156,1.219425373,0.286201471,0.167783452,not significant
sp|A1L0T0|HACL2_HUMAN,A1L0T0,HACL2_HUMAN,ILVBL,1.737178887,1.427027147,2.435974609,1.218331532,1.717536752,1.436107472,1.866726881,1.457325252,0.780684773,-0.357187964,0.284442448,not significant
sp|A1L3X4|MT1DP_HUMAN,A1L3X4,MT1DP_HUMAN,MT1DP,0.527740634,0.000241214,0.000253648,0.000258488,0.000256791,0.000264092,0.176078499,0.00025979,0.001475423,-9.404655284,0.373931145,not significant
sp|A1X283|SPD2B_HUMAN,A1X283,SPD2B_HUMAN,SH3PXD2B,2.085965297,2.523164784,2.4545303,2.642537066,1.773876135,1.309840218,2.35455346,1.90875114,0.810663751,-0.302824461,0.341657406,not significant
sp|A2RRP1|NBAS_HUMAN,A2RRP1,NBAS_HUMAN,NBAS,0.000249487,0.000241214,0.135645548,0.068408877,0.000256791,0.534981615,0.04537875,0.201215761,4.434140704,2.148654551,0.421069724,not significant
sp|A3KMH1|VWA8_HUMAN,A3KMH1,VWA8_HUMAN,VWA8,0.089910431,0.000241214,0.000253648,0.043145618,0.057156448,0.000264092,0.030135098,0.033522053,1.112392368,0.153665752,0.926391762,not significant
sp|A3KN83|SBNO1_HUMAN,A3KN83,SBNO1_HUMAN,SBNO1,0.000249487,0.000241214,0.000253648,0.000258488,0.000256791,0.000264092,0.000248116,0.00025979,1.04705051,0.06633104,0.052175215,not significant
sp|A3QJZ6|PRA22_HUMAN,A3QJZ6,PRA22_HUMAN,PRAMEF22,0.000249487,0.000241214,0.000253648,0.000258488,0.000256791,0.000264092,0.000248116,0.00025979,1.04705051,0.06633104,0.052175215,not significant
