Protein,Protein ID,Gene,log2FC,FC,P.value,FDR,mean c,mean ptx3,Class,is_onoff
sp|Q9C0B0|UNK_HUMAN,Q9C0B0,UNK,5.080898487,33.84564926,0.01582387,0.34157374086666664,0.03081381,1.042913394,Exploratory_Up,False
sp|Q6PD74|AAGAB_HUMAN,Q6PD74,AAGAB,4.13011502,17.51009517,0.00316963,0.32474893437499996,0.026797787,0.469231801,Stringent_Up,False
sp|P51688|SPHM_HUMAN,P51688,SGSH,4.128611615,17.49185774,0.003719074,0.34157374086666664,0.031550591,0.551878449,Stringent_Up,False
sp|Q8TBK6|ZCH10_HUMAN,Q8TBK6,ZCCHC10,3.266514661,9.623186313,0.002495023,0.30015192404761903,0.009317853,0.089667439,Stringent_Up,False
sp|A9UHW6|MI4GD_HUMAN,A9UHW6,MIF4GD,3.187440852,9.109935578,0.04736868,0.34157374086666664,0.006859426,0.062488932,Exploratory_Up,False
sp|O60547|GMDS_HUMAN,O60547,GMDS,2.940684386,7.677754264,0.00887567,0.34157374086666664,0.020028896,0.153776942,Stringent_Up,False
sp|Q96FK6|WDR89_HUMAN,Q96FK6,WDR89,2.813550336,7.030124973,0.007183959,0.34157374086666664,0.058495444,0.411230282,Stringent_Up,False
sp|Q5VT25|MRCKA_HUMAN,Q5VT25,CDC42BPA,2.792427363,6.927944454,0.005055981,0.34157374086666664,0.015148989,0.104951354,Stringent_Up,False
sp|O60343|TBCD4_HUMAN,O60343,TBC1D4,2.783802324,6.886649842,0.012260353,0.34157374086666664,0.015926074,0.109677295,Exploratory_Up,False
sp|Q92844|TANK_HUMAN,Q92844,TANK,2.774119724,6.840585074,0.001106356,0.2089310753846154,0.071716587,0.490583412,Stringent_Up,False
sp|O75223|GGCT_HUMAN,O75223,GGCT,2.545137371,5.836637105,0.027235821,0.34157374086666664,0.086362643,0.504067405,Exploratory_Up,False
sp|P01130|LDLR_HUMAN,P01130,LDLR,2.463352114,5.514966467,0.012538991,0.34157374086666664,0.040659139,0.224233786,Exploratory_Up,False
sp|Q00577|PURA_HUMAN,Q00577,PURA,2.450303401,5.465310271,0.000822437,0.17794587173913046,1.166619733,6.375938809,Stringent_Up,False
sp|Q9BPX6|MICU1_HUMAN,Q9BPX6,MICU1,2.441255172,5.431140449,0.018785506,0.34157374086666664,0.036590223,0.198726642,Exploratory_Up,False
sp|Q8IW45|NNRD_HUMAN,Q8IW45,NAXD,2.438567692,5.421032636,0.025367198,0.34157374086666664,0.058731066,0.318383027,Exploratory_Up,False
sp|Q8WUR7|CO040_HUMAN,Q8WUR7,C15orf40,2.415976464,5.336805614,0.016225056,0.34157374086666664,0.057006049,0.304230202,Exploratory_Up,False
sp|Q8TF68|ZN384_HUMAN,Q8TF68,ZNF384,2.40847463,5.309126918,0.02121062,0.34157374086666664,0.118890401,0.63120423,Exploratory_Up,False
sp|P49642|PRI1_HUMAN,P49642,PRIM1,2.383733871,5.218856998,0.035650806,0.34157374086666664,0.0299509,0.156309462,Exploratory_Up,False
sp|O95989|NUDT3_HUMAN,O95989,NUDT3,2.321735882,4.999333886,0.017083788,0.34157374086666664,0.052743755,0.263683643,Exploratory_Up,False
sp|P10646|TFPI1_HUMAN,P10646,TFPI,2.224415971,4.673216809,0.040419935,0.34157374086666664,0.026665307,0.124612759,Exploratory_Up,False
sp|Q7Z5K2|WAPL_HUMAN,Q7Z5K2,WAPL,2.176699119,4.521179256,0.038766955,0.34157374086666664,0.051122477,0.231133881,Exploratory_Up,False
sp|Q12789|TF3C1_HUMAN,Q12789,GTF3C1,2.110740912,4.319130514,0.02505079,0.34157374086666664,0.110697647,0.478117585,Exploratory_Up,False
sp|O75496|GEMI_HUMAN,O75496,GMNN,2.078601483,4.223975548,0.032696397,0.34157374086666664,0.037953905,0.160316367,Exploratory_Up,False
sp|Q99735|MGST2_HUMAN,Q99735,MGST2,1.961716675,3.895252026,0.046467927,0.34157374086666664,0.031776468,0.123777353,Exploratory_Up,False
sp|Q9NS86|LANC2_HUMAN,Q9NS86,LANCL2,1.958666187,3.887024462,0.018241804,0.34157374086666664,0.12722669,0.494533255,Exploratory_Up,False
sp|Q9ULH7|MRTFB_HUMAN,Q9ULH7,MRTFB,1.954438035,3.875649312,0.049478965,0.34157374086666664,0.100941897,0.391215395,Exploratory_Up,False
sp|Q96GG9|DCNL1_HUMAN,Q96GG9,DCUN1D1,1.895320087,3.720045037,0.020760308,0.34157374086666664,0.072145927,0.268386098,Exploratory_Up,False
sp|Q5TFE4|NT5D1_HUMAN,Q5TFE4,NT5DC1,1.832412531,3.561321129,0.007883488,0.34157374086666664,2.921747398,10.40528074,Stringent_Up,False
sp|Q9P000|COMD9_HUMAN,Q9P000,COMMD9,1.826668708,3.547170577,0.047789858,0.34157374086666664,2.544620978,9.026204662,Exploratory_Up,False
sp|O75391|SPAG7_HUMAN,O75391,SPAG7,1.787580555,3.452354361,0.004086018,0.34157374086666664,0.71205202,2.458255895,Stringent_Up,False
sp|Q9Y248|PSF2_HUMAN,Q9Y248,GINS2,1.784404257,3.444761874,0.002562094,0.30015192404761903,0.166868919,0.574823691,Stringent_Up,False
sp|Q15847|ADIRF_HUMAN,Q15847,ADIRF,1.769114707,3.408447372,0.021478568,0.34157374086666664,0.18575792,0.633146095,Exploratory_Up,False
sp|Q9H9Q4|NHEJ1_HUMAN,Q9H9Q4,NHEJ1,1.720853858,3.296314412,0.000313405,0.10991561071428571,0.291195142,0.959870743,Stringent_Up,False
sp|O75915|PRAF3_HUMAN,O75915,ARL6IP5,1.682475924,3.209783352,0.000975897,0.1950668368,0.506696609,1.626386341,Stringent_Up,False
sp|Q9NWM8|FKB14_HUMAN,Q9NWM8,FKBP14,1.673652939,3.190213415,0.002168852,0.2878125221621622,0.275700724,0.879544148,Stringent_Up,False
sp|Q9UPQ4|TRI35_HUMAN,Q9UPQ4,TRIM35,1.669131523,3.180230915,0.021924883,0.34157374086666664,0.673229118,2.141024053,Exploratory_Up,False
