Protein,Protein ID,Gene,log2FC,FC,P.value,FDR,mean c,mean ptx3,Class,is_onoff
sp|P26022|PTX3_HUMAN,P26022,PTX3,11.07323713,2154.648968,0.000219321,0.08973884249999999,0.000248116,0.534603602,On/Off,True
sp|B3EWG3|FM25A_HUMAN,B3EWG3,FAM25A,10.52806582,1476.602527,0.014224829,0.34157374086666664,0.000248116,0.366369205,On/Off,True
sp|Q6XZF7|DNMBP_HUMAN,Q6XZF7,DNMBP,10.07517523,1078.77272,0.001654895,0.26211401451612903,0.000248116,0.267661132,On/Off,True
sp|P56556|NDUA6_HUMAN,P56556,NDUFA6,10.01521936,1034.859621,0.000418751,0.12596720529411765,0.000248116,0.256765575,On/Off,True
sp|Q9P0S9|TM14C_HUMAN,Q9P0S9,TMEM14C,9.91915435,968.1953465,3.31298e-05,0.044859846749999994,0.000248116,0.240225079,On/Off,True
sp|Q2M3G4|SHRM1_HUMAN,Q2M3G4,SHROOM1,9.821975949,905.1267027,1.2978e-05,0.044859846749999994,0.000248116,0.224576719,On/Off,True
sp|Q6ZYL4|TF2H5_HUMAN,Q6ZYL4,GTF2H5,9.794031196,887.7632616,0.0001139,0.06462269222222222,0.000248116,0.220268565,On/Off,True
sp|Q96FX2|DPH3_HUMAN,Q96FX2,DPH3,9.598258972,775.1109224,0.001320358,0.23153420642857142,0.000248116,0.19231768,On/Off,True
sp|Q9ULX9|MAFF_HUMAN,Q9ULX9,MAFF,9.58830311,769.7803907,0.003730758,0.34157374086666664,0.000248116,0.190995088,On/Off,True
sp|Q9BV29|CCD32_HUMAN,Q9BV29,CCDC32,9.244870245,606.712929,0.000118453,0.06462269222222222,0.000248116,0.150535387,On/Off,True
sp|Q8TF01|PNISR_HUMAN,Q8TF01,PNISR,9.059088852,533.4054859,0.000176951,0.086882941,0.000248116,0.132346613,On/Off,True
sp|Q9NVR5|KTU_HUMAN,Q9NVR5,DNAAF2,9.046553031,528.7907138,0.013263398,0.34157374086666664,0.000248116,0.131201613,On/Off,True
sp|Q13049|TRI32_HUMAN,Q13049,TRIM32,8.815666032,450.5882966,0.000433427,0.12596720529411765,0.000248116,0.111798316,On/Off,True
sp|O75815|BCAR3_HUMAN,O75815,BCAR3,8.469044584,354.3532778,0.000993212,0.1950668368,0.000248116,0.087920836,On/Off,True
sp|P55212|CASP6_HUMAN,P55212,CASP6,8.461272727,352.4494948,0.000524135,0.1286751425,0.000248116,0.087448476,On/Off,True
sp|Q9NR09|BIRC6_HUMAN,Q9NR09,BIRC6,8.36438302,329.5567294,0.00010751,0.06462269222222222,0.000248116,0.081768407,On/Off,True
sp|Q9UJF2|NGAP_HUMAN,Q9UJF2,RASAL2,8.284975305,311.9076885,0.001711499,0.2626081278125,0.000248116,0.077389392,On/Off,True
sp|Q86YV9|HPS6_HUMAN,Q86YV9,HPS6,8.070806952,268.8778221,0.004864591,0.34157374086666664,0.000248116,0.066712979,On/Off,True
sp|Q92536|YLAT2_HUMAN,Q92536,SLC7A6,7.413695673,170.5080063,0.002478507,0.30015192404761903,0.000248116,0.042305821,On/Off,True
sp|O15085|ARHGB_HUMAN,O15085,ARHGEF11,-7.048161405,0.007556001,0.008659714,0.34157374086666664,0.034381988,0.00025979,On/Off,True
sp|Q5T447|HECD3_HUMAN,Q5T447,HECTD3,-8.649041141,0.002491031,2.38124e-05,0.044859846749999994,0.104290273,0.00025979,On/Off,True
sp|Q8IWA0|WDR75_HUMAN,Q8IWA0,WDR75,-8.755433127,0.00231394,0.049625913,0.34157374086666664,0.112271877,0.00025979,On/Off,True
sp|Q99836|MYD88_HUMAN,Q99836,MYD88,-8.895335446,0.002100087,0.018829042,0.34157374086666664,0.12370458,0.00025979,On/Off,True
sp|Q9Y6N7|ROBO1_HUMAN,Q9Y6N7,ROBO1,-8.998793673,0.001954759,0.016197882,0.34157374086666664,0.132901477,0.00025979,On/Off,True
sp|Q8IVT2|MISP_HUMAN,Q8IVT2,MISP,-9.399020212,0.001481198,0.01350337,0.34157374086666664,0.175392089,0.00025979,On/Off,True
sp|O43929|ORC4_HUMAN,O43929,ORC4,-9.625345644,0.001266141,0.000303036,0.10991561071428571,0.205182702,0.00025979,On/Off,True
sp|Q9BW61|DDA1_HUMAN,Q9BW61,DDA1,-10.64862553,0.000622937,3.65457e-05,0.044859846749999994,0.417040935,0.00025979,On/Off,True
sp|Q9UEE9|CFDP1_HUMAN,Q9UEE9,CFDP1,-11.91300632,0.000259315,0.002387936,0.30015192404761903,1.001832758,0.00025979,On/Off,True
sp|Q9BVC6|TM109_HUMAN,Q9BVC6,TMEM109,-14.14796039,5.50858e-05,8.69498e-05,0.06462269222222222,4.716104753,0.00025979,On/Off,True
