Protein,Protein ID,Gene,log2FC,FC,P.value,FDR,mean c,mean ptx3,Class,is_onoff
sp|A0A0B4J2D5|GAL3B_HUMAN,A0A0B4J2D5,GATD3B,0.083463342,1.059558573,0.867650068,0.953482410044613,5.545501866,5.875784041,NS,False
sp|A0A0U1RRL7|MMPOS_HUMAN,A0A0U1RRL7,MMP24OS,0.254921063,1.193270451,0.4256102,0.7487349317374241,0.804941444,0.960512841,NS,False
sp|A0A3B3IU46|RMACL_HUMAN,A0A3B3IU46,RAMACL,1.461606787,2.754149335,0.164972084,0.5759349597441364,0.041057123,0.113077448,NS,False
sp|A0AVT1|UBA6_HUMAN,A0AVT1,UBA6,0.195295285,1.144958482,0.195754201,0.6135297670854591,9.193420492,10.52608477,NS,False
sp|A0FGR8|ESYT2_HUMAN,A0FGR8,ESYT2,0.631754973,1.549448681,0.141970746,0.5389361898225309,2.161323993,3.34886061,NS,False
sp|A0MZ66|SHOT1_HUMAN,A0MZ66,SHTN1,0.286201471,1.219425373,0.167783452,0.5783190932097901,7.874219583,9.602023156,NS,False
sp|A1L0T0|HACL2_HUMAN,A1L0T0,ILVBL,-0.357187964,0.780684773,0.284442448,0.7039377115322581,1.866726881,1.457325252,NS,False
sp|A1L3X4|MT1DP_HUMAN,A1L3X4,MT1DP,-9.404655284,0.001475423,0.373931145,0.7154409222873785,0.176078499,0.00025979,NS,True
sp|A1X283|SPD2B_HUMAN,A1X283,SH3PXD2B,-0.302824461,0.810663751,0.341657406,0.7154409222873785,2.35455346,1.90875114,NS,False
sp|A2RRP1|NBAS_HUMAN,A2RRP1,NBAS,2.148654551,4.434140704,0.421069724,0.745300111225667,0.04537875,0.201215761,NS,False
sp|A3KMH1|VWA8_HUMAN,A3KMH1,VWA8,0.153665752,1.112392368,0.926391762,0.9743219287980358,0.030135098,0.033522053,NS,False
sp|A3KN83|SBNO1_HUMAN,A3KN83,SBNO1,0.06633104,1.04705051,0.052175215,0.34157374086666664,0.000248116,0.00025979,NS,True
sp|A3QJZ6|PRA22_HUMAN,A3QJZ6,PRAMEF22,0.06633104,1.04705051,0.052175215,0.34157374086666664,0.000248116,0.00025979,NS,True
